LotFrontage,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,OpenPorchSF,SalePrice
57.0,7449,9,7,1930,1950,0.0,0,637,637,1108,0,1108,280,0,139400
75.0,9742,5,8,2002,2002,281.0,0,1777,1777,1795,0,1795,534,159,230000
44.0,4224,10,5,1976,1976,0.0,840,200,1040,1060,0,1060,572,110,129900
70.04995836802665,8246,19,5,1968,2001,0.0,188,204,1060,1060,0,1060,270,90,154000
110.0,14230,16,8,2007,2007,640.0,0,1566,1566,1600,0,1600,890,56,256300
60.0,7200,12,5,1951,2000,0.0,234,180,900,900,0,900,576,32,134800
98.0,11478,16,8,2007,2008,200.0,1218,486,1704,1704,0,1704,772,50,306000
47.0,16321,12,5,1957,1997,0.0,1277,207,1484,1600,0,1600,319,258,207500
60.0,6324,3,4,1927,1950,0.0,0,520,520,520,0,520,240,0,68500
50.0,8500,9,4,1920,1950,0.0,0,649,649,649,668,1317,250,54,40000
70.04995836802665,8544,19,5,1966,2006,0.0,0,1228,1228,1228,0,1228,271,65,149350
85.0,11049,5,8,2007,2007,0.0,0,1234,1234,1234,0,1234,484,30,179900
70.0,10552,12,5,1959,1959,0.0,1018,380,1398,1700,0,1700,447,38,165500
60.0,7313,16,9,2005,2005,246.0,1153,408,1561,1561,0,1561,556,47,277500
108.0,13418,16,8,2004,2005,132.0,0,1117,1117,1132,1320,2452,691,32,309000
112.0,10859,5,5,1994,1995,0.0,0,1097,1097,1097,0,1097,672,64,145000
74.0,8532,12,5,1954,1990,650.0,1213,84,1297,1297,0,1297,498,0,153000
68.0,7922,12,5,1953,2007,0.0,731,326,1057,1057,0,1057,246,52,109000
65.0,6040,7,4,1955,1955,0.0,0,0,0,1152,0,1152,0,0,82000
84.0,8658,12,6,1965,1965,101.0,643,445,1088,1324,0,1324,440,138,160000
115.0,16905,23,5,1959,1959,0.0,967,383,1350,1328,0,1328,308,104,170000
70.04995836802665,9180,20,5,1983,1983,0.0,747,0,840,884,0,884,504,0,144000
70.04995836802665,9200,5,5,1975,1980,0.0,280,167,938,938,0,938,308,0,130250
70.0,7945,12,5,1959,1959,0.0,179,465,1150,1150,0,1150,300,0,141000
61.0,7658,16,9,2005,2005,412.0,456,1296,1752,1752,0,1752,576,82,319900
48.0,12822,11,7,2003,2003,0.0,1351,83,1434,1518,631,2149,670,43,239686
84.0,11096,21,8,2006,2006,0.0,24,1632,1656,1656,0,1656,826,146,249700
33.0,4456,17,4,1920,2008,0.0,0,736,736,736,716,1452,0,0,113000
66.0,7742,19,5,1966,1966,0.0,763,192,955,955,0,955,386,0,127000
70.04995836802665,13869,8,6,1997,1997,0.0,182,612,794,794,676,1470,388,75,177000
52.0,6240,3,6,1934,1950,0.0,0,816,816,816,0,1176,528,0,114500
110.0,8472,9,5,1963,1963,0.0,104,0,816,816,0,816,516,0,110000
68.0,50271,24,9,1981,1987,0.0,1810,32,1842,1842,0,1842,894,72,385000
60.0,7134,12,5,1955,1955,0.0,384,0,384,1360,0,1360,572,50,130000
100.0,10175,12,6,1964,1964,272.0,490,935,1425,1425,0,1425,576,0,180500
24.0,2645,21,8,1999,2000,456.0,649,321,970,983,756,1739,480,0,172500
89.0,11645,5,7,2004,2004,0.0,0,860,860,860,860,1720,565,70,196500
66.0,13682,22,10,2006,2006,1031.0,0,1410,1410,1426,1519,2945,641,0,438780
60.0,7200,5,5,1972,1972,0.0,632,148,780,780,0,780,352,0,124900
63.0,13072,20,6,2004,2004,0.0,941,217,1158,1158,0,1158,576,50,158000
60.0,7200,9,5,1920,1996,0.0,0,530,530,581,530,1111,288,0,101000
44.0,6442,16,8,2006,2006,178.0,24,1346,1370,1370,0,1370,484,49,202500
50.0,10300,17,7,1921,1950,0.0,0,576,576,902,808,1710,480,11,140000
70.04995836802665,9375,5,7,1997,1998,573.0,739,318,1057,1057,977,2034,645,36,219500
76.0,9591,16,8,2004,2005,344.0,0,1143,1143,1143,1330,2473,852,151,317000
70.04995836802665,19900,12,7,1970,1989,287.0,912,1035,1947,2207,0,2207,576,0,180000
72.0,10665,5,7,2003,2003,167.0,1013,440,1453,1479,0,1479,558,29,226000
47.0,4608,17,4,1945,1950,0.0,0,747,747,747,0,747,220,0,80000
81.0,15593,4,7,1953,1953,0.0,603,701,1304,1304,983,2287,667,21,225000
95.0,13651,12,7,1973,1973,1115.0,1880,343,2223,2223,0,2223,516,0,244000
69.0,7599,11,4,1982,2006,0.0,565,280,845,845,0,845,360,0,129500
74.0,10141,8,7,1998,1998,40.0,0,832,832,885,833,1718,427,94,185000
85.0,10200,12,5,1954,2003,104.0,320,404,1086,1086,0,1086,490,0,144900
60.0,5790,17,3,1915,1950,0.0,0,840,840,840,765,1605,379,0,107400
21.0,1596,10,4,1973,1973,0.0,462,0,462,526,462,988,297,101,91000
70.04995836802665,8475,12,4,1956,1956,0.0,228,724,952,952,0,952,283,0,135750
50.0,8635,3,5,1948,2001,0.0,336,295,672,1072,213,1285,240,0,127000
72.0,10778,19,4,1968,1968,0.0,0,1768,1768,1768,0,1768,0,0,136500
60.0,10440,17,5,1910,1981,0.0,0,440,440,682,548,1230,440,0,110000
100.0,13000,12,6,1968,1968,576.0,448,448,896,1182,960,2142,509,72,193500
32.0,4500,11,6,1998,1998,443.0,1201,36,1237,1337,0,1337,405,199,153500
78.0,10206,21,8,2007,2007,468.0,33,1530,1563,1563,0,1563,758,99,245000
80.0,8892,12,5,1960,1960,66.0,0,1065,1065,1065,0,1065,461,0,126500
70.04995836802665,8530,8,7,1995,1996,22.0,0,384,384,804,670,1474,400,72,168500
121.0,16059,15,8,1991,1992,284.0,0,1288,1288,1301,1116,2417,462,82,260000
122.0,11911,8,6,2005,2005,0.0,0,684,684,684,876,1560,400,38,174000
40.0,3951,21,6,2009,2009,76.0,0,612,612,612,612,1224,528,234,164500
105.0,8470,9,3,1915,1982,0.0,0,1013,1013,1013,0,1526,0,0,85000
60.0,8070,5,4,1994,1995,0.0,588,402,990,990,0,990,0,0,123600
60.0,7200,12,4,1950,1950,0.0,0,0,0,1040,0,1040,420,29,109900
85.0,8500,12,5,1961,1961,203.0,600,635,1235,1235,0,1235,480,0,98600
80.0,13360,6,5,1921,2006,0.0,713,163,876,964,0,964,432,0,163500
60.0,7200,17,6,1910,1998,0.0,1046,168,1214,1260,1031,2291,506,0,133900
69.0,9337,5,6,1997,1997,0.0,648,176,824,905,881,1786,684,162,204750
70.04995836802665,9765,8,6,1993,1993,68.0,310,370,680,680,790,1470,420,63,185000
78.0,10264,5,7,1999,1999,183.0,1162,426,1588,1588,0,1588,472,29,214000
73.0,10921,7,4,1965,1965,48.0,520,440,960,960,0,960,432,0,94750
85.0,10625,7,5,1920,1950,0.0,108,350,458,835,0,835,366,0,83000
77.0,9320,12,4,1959,1959,0.0,569,381,950,1225,0,1225,0,0,128950
70.04995836802665,10603,14,6,1977,2001,28.0,1200,410,1610,1610,0,1610,480,68,205000
77.0,9206,20,6,1985,1985,336.0,0,741,741,977,755,1732,476,46,178000
64.0,7018,20,5,1979,1979,0.0,0,0,0,1535,0,1535,410,0,118964
94.0,10402,5,7,2009,2009,0.0,0,1226,1226,1226,0,1226,740,36,198900
70.04995836802665,7758,9,7,1931,1950,600.0,224,816,1040,1226,592,1818,240,0,169500
75.0,9375,21,8,2003,2004,768.0,0,1053,1053,1053,939,1992,648,45,250000
60.0,10800,17,4,1885,1995,0.0,0,641,641,1047,0,1047,273,0,100000
50.0,6000,17,5,1948,1950,0.0,104,516,789,789,0,789,250,0,115000
85.0,8500,9,5,1919,2005,0.0,0,793,793,997,520,1517,0,0,115000
105.0,11751,14,6,1977,1977,480.0,705,1139,1844,1844,0,1844,546,122,190000
75.0,9525,7,6,1954,1972,0.0,444,550,994,1216,639,1855,325,0,136900
70.04995836802665,7750,8,7,2000,2000,0.0,250,134,384,774,656,1430,400,0,180000
77.0,9965,5,7,2007,2007,220.0,984,280,1264,1282,1414,2696,792,184,383970
70.04995836802665,21000,6,6,1953,1953,184.0,35,905,1809,2259,0,2259,450,120,217000
61.0,7259,6,6,1945,2002,0.0,774,104,1028,1436,884,2320,180,0,259500
34.0,3230,21,6,1999,1999,1129.0,419,310,729,729,729,1458,440,32,176000
70.04995836802665,11616,19,5,1962,1962,116.0,170,252,1092,1092,0,1092,288,20,139000
74.0,8536,7,5,2006,2007,0.0,0,1125,1125,1125,0,1125,430,64,155000
90.0,12376,20,7,1990,1990,0.0,1470,203,1673,1699,1523,3222,594,0,320000
65.0,8461,5,6,2005,2006,0.0,0,728,728,728,728,1456,390,24,163990
70.04995836802665,21453,4,6,1969,1969,0.0,938,0,938,988,0,988,540,130,180000
50.0,6060,9,4,1939,1950,0.0,0,732,732,772,351,1123,264,0,100000
75.0,9464,12,6,1958,1958,135.0,570,510,1080,1080,0,1080,288,0,136000
55.0,7892,20,6,1993,1993,0.0,300,899,1199,1199,0,1199,530,63,153900
48.0,17043,14,6,1979,1998,0.0,0,1362,1362,1586,0,1586,435,0,181000
60.0,6780,9,6,1935,1982,0.0,490,30,520,520,0,754,0,0,84500
70.04995836802665,4928,13,6,1976,1976,0.0,120,958,1078,958,0,958,440,205,128000
55.0,4388,17,5,1930,1950,0.0,116,556,672,840,0,840,0,0,87000
69.0,7590,12,6,1966,1966,266.0,512,148,660,660,688,1348,453,108,155000
69.0,8973,12,5,1958,1991,85.0,567,413,1008,1053,0,1053,750,80,150000
88.0,14200,12,7,1966,1966,309.0,445,479,924,1216,941,2157,487,66,226000
70.04995836802665,12224,8,6,2000,2000,40.0,695,297,992,1022,1032,2054,390,48,244000
75.0,7388,12,5,1959,2002,0.0,405,658,1063,1327,0,1327,624,0,150750
70.04995836802665,6853,23,8,2001,2002,136.0,1005,262,1267,1296,0,1296,471,25,220000
78.0,10335,19,5,1968,1993,0.0,570,891,1461,1721,0,1721,440,96,180000
80.0,10400,14,7,1970,1970,288.0,0,1304,1304,1682,0,1682,530,0,174000
70.04995836802665,10355,12,5,1967,1967,196.0,695,519,1214,1214,0,1214,318,111,143000
82.0,11070,11,7,1988,1989,70.0,0,1907,1907,1959,0,1959,766,0,171000
73.0,9066,5,8,1999,2000,320.0,668,336,1004,1004,848,1852,660,106,230000
65.0,15426,5,6,1997,1997,0.0,821,107,928,928,836,1764,470,99,231500
70.0,10500,12,4,1971,1971,0.0,432,432,864,864,0,864,0,0,115000
78.0,11645,5,7,2005,2005,0.0,1300,434,1734,1734,0,1734,660,24,260000
71.0,8520,12,5,1952,1952,0.0,507,403,910,910,475,1385,720,0,166000
78.0,10335,5,7,1999,1999,183.0,679,811,1490,1501,0,1501,577,29,204000
70.0,9100,19,5,1963,1963,336.0,1332,396,1728,1728,0,1728,504,0,125000
24.0,2522,7,6,2004,2006,50.0,0,970,970,970,739,1709,380,40,130000
51.0,6120,3,5,1931,1993,0.0,209,506,715,875,0,875,180,0,105000
70.04995836802665,9505,8,7,2001,2001,180.0,0,884,884,884,1151,2035,434,48,222500
63.0,7500,20,7,2004,2005,120.0,680,400,1080,1080,0,1080,0,0,141000
70.04995836802665,6240,3,5,1936,1950,0.0,0,896,896,896,448,1344,240,114,115000
120.0,10356,5,5,1975,1975,0.0,716,253,969,969,0,969,440,0,122000
107.0,13891,16,8,2007,2008,436.0,1400,310,1710,1710,0,1710,866,102,372402
70.04995836802665,14803,14,6,1971,1971,252.0,416,409,825,1097,896,1993,495,66,190000
70.04995836802665,13500,4,6,1960,1975,0.0,429,93,1602,1252,0,1252,564,0,235000
84.0,11340,17,6,1923,1950,0.0,0,1200,1200,1200,0,1200,312,0,125000
60.0,9600,7,6,1924,1950,0.0,0,572,572,572,524,1096,0,8,79000
60.0,7200,12,5,1950,1950,0.0,0,0,0,1040,0,1040,625,0,109500
92.0,12003,23,8,2009,2010,84.0,0,774,774,774,1194,1968,680,75,269500
100.0,12552,21,7,2004,2005,0.0,222,769,991,991,956,1947,678,136,254900
134.0,19378,8,7,2005,2006,456.0,57,1335,1392,1392,1070,2462,576,132,320000
70.04995836802665,11120,24,6,1984,1984,0.0,660,572,1232,1232,0,1232,516,0,162500
110.0,13688,16,9,2003,2004,664.0,1016,556,1572,1572,1096,2668,726,0,412500
95.0,12182,16,7,2005,2005,226.0,1201,340,1541,1541,0,1541,532,70,220000
55.0,5500,17,4,1956,1956,0.0,0,882,882,882,0,882,0,0,103200
40.0,5400,17,6,1926,2004,0.0,370,779,1149,1149,467,1616,216,0,152000
62.0,10106,7,5,1940,1999,0.0,351,112,644,808,547,1355,0,0,127500
70.04995836802665,10708,4,5,1955,1993,0.0,379,470,1617,1867,0,1867,303,0,190000
86.0,10562,16,8,2007,2007,300.0,1288,294,1582,1610,551,2161,789,120,325624
62.0,8244,8,7,2004,2004,0.0,0,840,840,840,880,1720,440,48,183500
70.04995836802665,16669,23,8,1981,1981,653.0,0,1686,1686,1707,0,1707,511,64,228000
70.04995836802665,12358,17,5,1941,1950,0.0,360,360,720,854,0,1382,660,0,128500
141.0,31770,12,6,1960,1960,112.0,639,441,1080,1656,0,1656,528,62,215000
44.0,5306,22,7,1987,1987,0.0,495,354,1064,1064,703,1767,504,35,239000
80.0,10197,12,6,1961,1961,491.0,288,700,1362,1362,0,1362,504,20,163000
47.0,12416,23,6,1986,1986,132.0,1398,0,1606,1651,0,1651,616,0,184000
84.0,12615,7,6,1950,2001,0.0,477,725,1202,2158,0,2158,576,29,243000
97.0,10029,4,6,1988,1989,268.0,831,320,1151,1164,896,2060,521,228,211000
70.04995836802665,13650,19,5,1958,1958,0.0,57,554,1052,1252,668,1920,451,0,172500
63.0,17423,22,9,2008,2009,748.0,1904,312,2216,2234,0,2234,1166,60,501837
60.0,8520,17,5,1923,2006,0.0,0,968,968,968,0,968,480,0,100000
70.04995836802665,2117,21,6,2000,2000,456.0,436,320,756,769,756,1525,440,0,177000
54.0,7588,6,7,1920,1950,0.0,352,441,793,901,901,1802,216,0,200100
60.0,9060,7,5,1957,2006,98.0,0,0,0,1340,0,1340,252,0,120000
63.0,11426,17,7,2003,2003,0.0,0,1362,1362,1362,720,2082,484,238,200000
92.0,7438,3,5,1908,1991,0.0,0,504,504,936,316,1252,576,0,127000
90.0,22950,17,10,1892,1993,0.0,0,1107,1107,1518,1518,3608,840,260,475000
70.04995836802665,9947,11,7,1990,1991,0.0,611,577,1188,1217,0,1217,497,27,173000
60.0,10410,17,5,1916,1987,0.0,0,660,660,808,704,1656,180,0,135000
64.0,7018,20,5,1979,1979,275.0,1086,0,1086,1224,0,1224,528,0,153337
41.0,4923,22,8,2001,2002,0.0,1153,440,1593,1593,0,1593,682,120,286000
70.0,10570,6,8,1932,1994,0.0,297,556,853,1549,1178,2727,440,74,315000
70.04995836802665,7472,12,7,1972,2004,138.0,626,99,725,725,754,1479,484,32,184000
68.0,9017,5,7,1999,1999,0.0,560,871,1431,1431,0,1431,666,35,192000
24.0,2522,7,7,2004,2004,50.0,0,970,970,970,739,1709,380,40,130000
60.0,7180,5,5,1972,1972,0.0,390,474,864,864,0,864,352,0,127000
24.0,2280,13,6,1976,1976,0.0,566,289,855,855,601,1456,440,0,148500
79.0,9416,21,7,2007,2007,205.0,1126,600,1726,1726,0,1726,786,138,311872
174.0,25419,12,8,1918,1990,0.0,1036,140,1360,1360,1360,3112,795,16,235000
92.0,5520,17,6,1912,1950,0.0,0,755,755,929,929,2229,0,198,104000
76.0,9591,16,8,2004,2005,262.0,1088,625,1713,1713,0,1713,856,26,274900
80.0,8546,7,4,2003,2004,0.0,0,1121,1121,1121,0,1121,440,64,140000
75.0,10125,11,6,1977,1977,0.0,641,276,1196,1279,0,1279,473,83,171500
50.0,7000,17,6,1924,1950,0.0,617,0,617,865,445,1310,398,0,112000
70.04995836802665,4438,5,6,2004,2004,205.0,662,186,848,848,0,848,420,0,149000
50.0,3500,17,5,1947,1950,0.0,312,408,720,720,564,1284,240,35,110000
99.0,11851,8,7,1990,1990,0.0,0,1424,1424,1442,0,1442,500,34,180500
40.0,13673,19,5,1962,1962,0.0,0,1140,1140,1696,0,1696,349,30,143900
70.04995836802665,12493,12,4,1960,1960,0.0,419,375,1100,1100,0,1100,312,0,141000
70.04995836802665,14364,20,7,1988,1989,128.0,1065,92,1157,1180,882,2062,454,55,277000
75.0,8250,12,6,1964,1964,260.0,787,305,1092,1092,0,1092,504,0,145000
67.0,5604,7,5,1925,1950,0.0,468,396,864,864,0,864,0,0,98000
83.0,10420,7,6,2009,2009,0.0,36,1176,1212,1212,0,1212,460,22,186000
72.0,8640,21,7,2009,2009,0.0,822,78,900,932,920,1852,644,108,252678
43.0,13568,5,5,1995,1995,0.0,716,274,990,990,0,990,576,0,156000
70.04995836802665,10900,5,6,1977,1977,153.0,378,311,689,689,703,1392,299,36,161750
72.0,10011,12,5,1957,1996,64.0,360,710,1070,1236,0,1236,447,0,134450
65.0,8450,5,7,2004,2004,266.0,946,490,1436,1436,0,1436,484,98,210000
57.0,9906,17,4,1925,1950,0.0,0,686,686,810,518,1328,210,172,107000
70.04995836802665,15660,6,7,1939,2006,312.0,341,457,798,1137,817,1954,431,119,311500
43.0,3010,0,7,2005,2006,16.0,16,1232,1248,1248,0,1248,438,0,167240
73.0,8990,5,7,2006,2006,0.0,0,1498,1498,1498,0,1498,675,33,204900
70.04995836802665,8068,8,6,2002,2002,0.0,0,1010,1010,1010,1257,2267,390,46,200000
85.0,11475,14,6,1975,1975,0.0,550,163,713,811,741,1552,434,208,179900
70.0,10500,12,4,1971,1971,0.0,524,160,864,864,0,864,576,0,97000
103.0,13472,16,10,2003,2003,922.0,56,2336,2392,2392,0,2392,968,105,386250
21.0,1680,2,5,1971,1971,142.0,0,630,630,630,672,1302,280,0,112000
82.0,9950,15,7,1995,1995,290.0,565,638,1203,1214,1306,2520,721,114,290000
21.0,1869,2,6,1970,1970,127.0,321,162,483,483,504,987,280,0,106000
70.0,8521,19,5,1967,1967,0.0,842,70,912,912,0,912,336,0,125000
43.0,3182,0,7,2005,2006,16.0,16,1357,1373,1555,0,1555,430,20,192500
73.0,8760,12,6,1959,1959,220.0,0,1194,1194,1194,0,1194,312,0,148000
174.0,15138,15,8,1995,1996,506.0,689,773,1462,1490,1304,2794,810,146,403000
21.0,1680,2,6,1972,1972,297.0,0,483,483,483,504,987,288,0,94500
75.0,10650,5,5,1976,1976,0.0,182,0,894,894,0,894,308,0,128200
70.04995836802665,7851,8,6,2002,2002,103.68526170798899,625,235,860,860,1100,1960,440,48,216500
21.0,1680,2,6,1971,1971,604.0,358,125,483,483,504,987,264,0,89500
65.0,8773,5,7,2004,2004,98.0,24,1390,1414,1414,0,1414,494,105,185500
70.04995836802665,9453,20,7,1993,2003,0.0,402,594,996,1014,730,1744,457,70,194500
93.0,12030,16,8,2007,2007,254.0,0,1694,1694,1694,0,1694,818,228,318000
52.0,8741,7,6,1945,1950,0.0,94,641,735,798,689,1487,220,140,113000
75.0,9000,21,8,2008,2008,36.0,1078,488,1566,1566,0,1566,750,168,262500
40.0,3880,17,5,1945,1997,0.0,329,357,686,866,0,866,0,42,110500
63.0,5000,17,5,1900,1950,0.0,0,540,540,889,551,1440,352,0,79000
75.0,10762,20,6,1980,1980,0.0,0,626,626,626,591,1217,288,28,120000
70.04995836802665,8880,20,7,1994,2002,0.0,695,253,948,1222,888,2110,463,130,205000
80.0,10400,14,7,1988,1988,102.0,929,916,1845,1872,0,1872,604,39,241500
69.0,9142,17,6,1910,1950,0.0,0,1020,1020,908,1020,1928,440,60,137000
75.0,11310,12,6,1954,1954,0.0,0,1367,1367,1375,0,1375,451,30,140000
72.0,11317,5,7,2003,2003,101.0,0,840,840,840,828,1668,500,68,180000
70.04995836802665,159000,4,6,1958,2006,472.0,697,747,1444,1444,700,2144,389,98,277000
55.0,5350,3,3,1940,1966,0.0,0,728,728,1306,0,1306,0,0,76500
44.0,4750,6,8,2006,2007,481.0,1573,0,1573,1625,0,1625,538,0,235000
65.0,8366,20,6,2004,2004,0.0,0,798,798,798,842,1640,520,45,173000
85.0,9350,12,6,1964,1991,108.0,270,452,1302,1302,0,1302,309,0,158000
70.0,8400,12,5,1957,1957,0.0,922,392,1314,1314,0,1314,294,0,145000
66.0,8738,8,7,1999,1999,302.0,0,975,975,1005,1286,2291,429,0,230000
64.0,8791,21,6,2003,2003,0.0,503,361,864,864,864,1728,673,56,207500
68.0,8814,5,7,2006,2006,180.0,1334,270,1604,1604,0,1604,660,110,220000
80.0,12435,5,7,2001,2001,172.0,361,602,963,963,829,1792,564,96,231500
70.0,12702,17,5,1956,1956,0.0,0,0,0,882,0,882,308,45,97000
120.0,19296,12,6,1962,1962,399.0,672,0,1362,1382,0,1382,884,0,176000
69.0,9588,5,8,2007,2007,270.0,0,1482,1482,1482,1092,2574,868,148,276000
88.0,8471,19,6,1977,1995,46.0,506,0,506,1212,0,1212,492,12,151000
50.0,5500,17,5,1929,2001,0.0,234,0,926,926,0,1316,484,0,130000
30.0,5232,17,5,1925,2004,0.0,0,680,680,764,0,764,504,0,73000
78.0,12090,14,6,1981,1981,210.0,588,606,1422,1422,0,1422,576,0,175500
70.0,11207,8,6,1997,1997,0.0,714,88,802,802,709,1511,413,75,185000
60.0,8400,18,5,1939,1997,0.0,378,342,720,1052,720,2192,240,24,179500
71.0,6900,9,5,1940,1955,0.0,403,212,740,778,0,778,924,25,120500
70.04995836802665,7917,7,6,1976,1976,174.0,751,392,1143,1113,0,1113,504,30,148000
84.0,10728,21,8,2006,2006,0.0,0,1095,1095,1095,844,1939,1053,51,266000
73.0,39104,4,7,1954,2005,0.0,226,96,1385,1363,0,1363,439,0,241500
92.0,11764,15,8,1999,2007,348.0,524,628,1152,1164,1106,2270,671,57,290000
80.0,9600,12,6,1958,1988,183.0,620,0,1240,1632,0,1632,338,0,139000
76.0,8314,11,5,1982,1982,0.0,546,270,816,816,0,816,264,0,124500
55.0,7264,3,7,1925,2007,0.0,0,952,952,952,596,1548,672,0,205000
129.0,9196,11,7,2003,2003,0.0,0,1560,1560,1560,0,1560,573,150,201000
140.0,19138,8,4,1951,1951,0.0,120,744,864,864,0,864,400,0,141000
107.0,14450,16,9,2006,2007,315.0,0,2121,2121,2121,0,2121,732,98,415298
83.0,10005,4,7,1977,1977,299.0,392,768,1160,1156,866,2022,505,117,192000
82.0,11287,20,7,1989,1989,340.0,421,386,807,1175,807,1982,575,84,228500
60.0,7200,21,6,2006,2006,68.0,905,357,1262,1262,0,1262,572,120,185000
34.0,5063,16,7,2007,2008,166.0,904,410,1314,1314,0,1314,626,62,207500
74.0,9612,21,8,2008,2009,72.0,0,1468,1468,1468,0,1468,898,150,244600
50.0,8012,20,6,1992,1992,0.0,430,1145,1575,1575,0,1575,529,0,179200
35.0,4251,21,7,2006,2007,0.0,0,625,625,625,625,1250,528,54,164700
77.0,9786,12,6,1962,1981,0.0,600,312,912,1085,649,1734,440,0,159000
70.04995836802665,8125,12,4,1971,1971,0.0,614,244,858,858,0,858,0,0,88000
70.04995836802665,9819,19,5,1967,1967,31.0,450,432,882,900,0,900,280,0,122000
60.0,8730,3,6,1915,2003,0.0,0,698,698,698,698,1396,384,0,153575
120.0,15611,5,8,2006,2006,0.0,0,1079,1079,1079,840,1919,685,51,233230
55.0,5687,18,5,1912,2000,0.0,210,570,780,936,780,1716,0,184,135900
60.0,11409,7,5,1949,2008,0.0,292,476,768,1148,568,1716,281,0,131000
70.04995836802665,16659,14,7,1977,1994,34.0,795,0,795,1468,795,2263,539,250,235000
80.0,9600,12,6,1953,1953,238.0,1285,131,1416,1644,0,1644,418,0,167000
37.0,7937,11,6,1984,1984,0.0,819,184,1003,1003,0,1003,588,0,142500
75.0,13710,9,5,1950,1950,0.0,420,490,910,910,648,1558,282,0,152000
66.0,7399,21,7,1997,1998,1600.0,649,326,975,975,975,1950,576,10,239000
90.0,11700,14,6,1968,1968,365.0,384,143,702,1041,702,1743,539,0,175000
80.0,14000,6,6,1950,2004,0.0,0,1092,1092,1152,0,1152,300,36,158500
90.0,15750,6,5,1953,1953,56.0,841,324,1165,1336,0,1336,375,0,157000
66.0,16226,5,8,1998,1999,0.0,281,747,1028,1210,1242,2452,683,50,267000
118.0,13704,5,7,2001,2002,150.0,0,1541,1541,1541,0,1541,843,81,205000
70.0,9800,5,5,1972,1972,0.0,894,0,894,894,0,894,552,0,149900
87.0,18386,17,7,1880,2002,0.0,0,1470,1470,1675,1818,3493,870,0,295000
80.0,10386,5,8,2004,2005,246.0,1464,536,2000,2000,0,2000,888,0,305900
116.0,13474,20,7,1990,1991,246.0,700,0,700,1122,1121,2243,746,44,225000
70.04995836802665,7920,9,6,1920,1950,0.0,0,319,319,1035,371,1406,0,144,89500
70.04995836802665,12342,7,4,1940,1950,0.0,262,599,861,861,0,861,539,0,82500
90.0,12378,16,9,2003,2004,0.0,1274,622,1896,1944,0,1944,708,175,360000
70.04995836802665,7685,8,6,1993,1994,112.0,518,179,697,697,804,1501,420,63,165600
50.0,8000,12,6,1948,2002,0.0,680,292,972,972,0,972,240,0,132000
65.0,7800,17,5,1939,1950,0.0,507,286,793,793,325,1118,410,0,119900
150.0,215245,23,7,1965,1965,0.0,1236,80,2136,2036,0,2036,513,0,375000
60.0,9600,17,7,1925,1990,0.0,16,712,728,832,809,1641,546,0,178000
71.0,7795,8,7,2004,2005,0.0,425,291,716,716,716,1432,432,51,188500
94.0,13005,14,7,1980,1980,278.0,692,153,845,1153,1200,2353,484,195,260000
75.0,9000,21,8,2006,2006,0.0,0,1088,1088,1088,871,1959,1025,46,270000
90.0,9900,15,7,1993,1993,256.0,987,360,1347,1372,1274,2646,656,60,260000
